și  s1 i
antrenorul  a n t r e n o r u l
acestei  a ts1 s t e i
aceeași  a ts1 e a s1 i
săptămâna  s a1 p t a1 m a2 n a
urgență  u r dz1 n ts a1
seama  s e a m a
noastră  n o a s t r a1
i-au  i a u
medicii  m e d i ts1 i
strada  s t r a d a
devină  d e v i n a1
să-mi  s a1 m i
acestora  a ts1 s t o r a
ajută  a z1 u t a1
doua  d o u a
procente  p r o ts1 n t e
piața  p i a ts a
înțeles  a2 n ts e l e s
mama  m a m a
confruntă  k o n f r u n t a1
măsuri  m a1 s u r i
susțin  s u s ts i n
simțit  s i m ts i t
curtea  k u r t e a
viața  v i a ts a
explicație  e k s p l i k a ts i e
costă  k o s t a1
urmează  u r m e a z a1
steaua  s t e a u a
iași  i a s1 i
același  a ts1 l a s1 i
polițiști  p o l i ts i s1 t i
lucrărilor  l u k r a1 r i l o r
în  a2 n
apartamente  a p a r t a m e n t e
domenii  d o m e n i i
bărbați  b a1 r b a ts i
iau  i a u
aibă  a i b a1
persoanelor  p e r s o a n e l o r
dea  d e a
vine  v i n e
elevi  e l e v i
plină  p l i n a1
facultatea  f a k u l t a t e a
durează  d u r e a z a1
femei  f e m e i
rândul  r a2 n d u l
declară  d e k l a r a1
licitație  l i ts1 t a ts i e
preferă  p r e f e r a1
privința  p r i v i n ts a
meseria  m e s e r i a
educație  e d u k a ts i e
i-am  i a m
locale  l o k a l e
șeful  s1 e f u l
judecătoria  z1 u d e k a1 t o r i a
trăiește  t r a1 i e s1 t e
drumul  d r u m u l
comuna  k o m u n a
sportul  s p o r t u l
șoferul  s1 o f e r u l
locuiesc  l o k u i e s k
româniei  r o m a2 n i e i
producția  p r o d u k ts i a
cazul  k a z u l
lucrurile  l u k r u r i l e
preventivă  p r e v e n t i v a1
problemele  p r o b l e m e l e
aceea  a ts1 e a
simț  s i m ts
publicul  p u b l i k u l
prețul  p r e ts u l
credincioși  k r e d i n ts1 o s1 i
universitatea  u n i v e r s i t a t e a
constantin  k o n s t a n t i n
ministerul  m i n i s t e r u l
franța  f r a n ts a
spania  s p a n i a
cristea  k r i s t e a
întorc  a2 n t o r k
ambele  a m b e l e
pitești  p i t e s1 t i
moldova  m o l d o v a
bune  b u n e
să-i  s a1 i
nu-i  n u i
tânărul  t a2 n a1 r u l
totuși  t o t u s1 i
unele  u n e l e
cheltuielile  k h e l t u i e l i l e
lucrările  l u k r a1 r i l e
poliția  p o l i ts i a
banii  b a n i i
într-un  a2 n t r u n
aveau  a v e a u
meciul  m e ts1 u l
meciuri  m e ts1 u r i
aceștia  a ts1 s1 t i a
și-au  s1 i a u
probe  p r o b e
șef  s1 e f
poliției  p o l i ts i e i
centrul  ts1 n t r u l
diferite  d i f e r i t e
l-au  l a u
statului  s t a t u l u i
l-a  l a
tradiționale  t r a d i ts i o n a l e
susținut  s u s ts i n u t
mașinile  m a s1 i n i l e
lucrez  l u k r e z
oferite  o f e r i t e
singură  s i n g u r a1
meciurile  m e ts1 u r i l e
unui  u n u i
țări  ts a1 r i
aparține  a p a r ts i n e
păcate  p a1 k a t e
cadrul  k a d r u l
săptămâni  s a1 p t a1 m a2 n i
ajungă  a z1 u n g a1
interesează  i n t e r e s e a z a1
țară  ts a r a1
țării  ts a1 r i i
câștigat  k a2 s1 t i g a t
trebuit  t r e b u i t
locuri  l o k u r i
scape  s k a p e
arată  a r a t a1
găsesc  g a1 s e s k
studenții  s t u d e n ts i i
câini  k a2 i n i
deține  d e ts i n e
je  z1 e
clienții  k l i e n ts i i
n-am  n a m
pasul  p a s u l
specialiștii  s p e ts1 a l i s1 t i i
deranjează  d e r a n z1 e a z a1
trăiesc  t r a1 i e s k
sensul  s e n s u l
uit  u i t
mulțumit  m u l ts u m i t
vedem  v e d e m
buni  b u n i
povestește  p o v e s t e s1 t e
alții  a l ts i i
să-și  s a1 s1 i
rețeta  r e ts e t a
economici  e k o n o m i ts1
salarii  s a l a r i i
femeia  f e m e i a
tinerii  t i n e r i i
râmnicu  r a2 m n i k u
străzile  s t r a1 z i l e
proiectul  p r o i e k t u l
partide  p a r t i d e
conducerea  k o n d u ts1 r e a
efectele  e f e k t e l e
economice  e k o n o m i ts1
comerciale  k o m e r ts1 a l e
vieții  v i e ts i i
rezultatelor  r e z u l t a t e l o r
consumul  k o n s u m u l
optimă  o p t i m a1
banilor  b a n i l o r
speriați  s p e r i a ts i
județul  z1 u d e ts u l
ritmuri  r i t m u r i
bărbatului  b a1 r b a t u l u i
revin  r e v i n
câștigă  k a2 s1 t i g a1
primirea  p r i m i r e a
danseze  d a n s e z e
reflectă  r e f l e k t a1
preoți  p r e o ts i
comunitari  k o m u n i t a r i
curții  k u r ts i i
începutul  a2 n ts1 p u t u l
înțelege  a2 n ts e l e dz1
controlul  k o n t r o l u l
ține  ts i n e
producători  p r o d u k a1 t o r i
țara  ts a r a
poziția  p o z i ts i a
argentinianul  a r dz1 n t i n i a n u l
întreaga  a2 n t r e a g a
fideli  f i d e l i
soția  s o ts i a
corectă  k o r e k t a1
soluție  s o l u ts i e
venituri  v e n i t u r i
atelierele  a t e l i e r e l e
participat  p a r t i ts1 p a t
acești  a ts1 s1 t i
proiectului  p r o i e k t u l u i
liceul  l i ts1 u l
terenul  t e r e n u l
existe  e k s i s t e
președintele  p r e s1 e d i n t e l e
simțim  s i m ts i m
profesorul  p r o f e s o r u l
săvârșirea  s a1 v a2 r s1 i r e a
depind  d e p i n d
simple  s i m p l e
marginea  m a r dz1 n e a
fotbaliști  f o t b a l i s1 t i
situație  s i t u a ts i e
pensionari  p e n s i o n a r i
comune  k o m u n e
impactului  i m p a k t u l u i
rănită  r a1 n i t a1
populație  p o p u l a ts i e
centrului  ts1 n t r u l u i
administrației  a d m i n i s t r a ts i e i
participă  p a r t i ts1 p a1
trebuia  t r e b u i a
sectorul  s e k t o r u l
firme  f i r m e
obținut  o b ts i n u t
de-al  d e a l
prinși  p r i n s1 i
arbitrii  a r b i t r i i
faci  f a ts1
parchetului  p a r k h e t u l u i
înțeleg  a2 n ts e l e g
echipele  e k h i p e l e
celebrul  ts1 l e b r u l
băncii  b a1 n ts1 i
învățământ  a2 n v a1 ts a1 m a2 n t
vecinii  v e ts1 n i i
funcția  f u n k ts i a
activitățile  a k t i v i t a1 ts i l e
creștere  k r e s1 t e r e
române  r o m a2 n e
blocul  b l o k u l
eliberați  e l i b e r a ts i
cunoaște  k u n o a s1 t e
suspecții  s u s p e k ts i i
poarta  p o a r t a
traficul  t r a f i k u l
starea  s t a r e a
simt  s i m t
vânzarea  v a2 n z a r e a
medicale  m e d i k a l e
cunosc  k u n o s k
construcțiile  k o n s t r u k ts i i l e
înseamnă  a2 n s e a m n a1
estimată  e s t i m a t a1
frații  f r a ts i i
fostul  f o s t u l
judecătorii  z1 u d e k a1 t o r i i
accidentului  a k ts1 d e n t u l u i
posturile  p o s t u r i l e
procurorul  p r o k u r o r u l
membrii  m e m b r i i
alegerea  a l e dz1 r e a
punctualitatea  p u n k t u a l i t a t e a
cetățenilor  ts1 t a1 ts e n i l o r
diferență  d i f e r e n ts a1
zilele  z i l e l e
întrebări  a2 n t r e b a1 r i
românii  r o m a2 n i i
casei  k a s e i
protestele  p r o t e s t e l e
activează  a k t i v e a z a1
bisericii  b i s e r i ts1 i
vrem  v r e m
lunii  l u n i i
activitatea  a k t i v i t a t e a
dorește  d o r e s1 t e
sper  s p e r
elevii  e l e v i i
italiană  i t a l i a n a1
comisia  k o m i s i a
desfășoară  d e s f a1 s1 o a r a1
inspectoratului  i n s p e k t o r a t u l u i
construcții  k o n s t r u k ts i i
unor  u n o r
lipsesc  l i p s e s k
pierd  p i e r d
președinte  p r e s1 e d i n t e
televizată  t e l e v i z a t a1
prezentați  p r e z e n t a ts i
uriașe  u r i a s1 e
ocazia  o k a z i a
învățământul  a2 n v a1 ts a1 m a2 n t u l
momentul  m o m e n t u l
caută  k a u t a1
asociația  a s o ts1 a ts i a
să-ți  s a1 ts i
finanțarea  f i n a n ts a r e a
printr-un  p r i n t r u n
preocupați  p r e o k u p a ts i
rețeaua  r e ts e a u a
primesc  p r i m e s k
precizează  p r e ts1 z e a z a1
rezultate  r e z u l t a t e
șaisprezece  s1 a i s p r e z e ts1
înfățișare  a2 n f a1 ts i s1 a r e
am  a m
agenții  a dz1 n ts i i
evoluția  e v o l u ts i a
deși  d e s1 i
studenților  s t u d e n ts i l o r
suferă  s u f e r a1
spitalului  s p i t a l u l u i
procesul  p r o ts1 s u l
acestuia  a ts1 s t u i a
lăcătuș  l a1 k a1 t u s1
sala  s a l a
ajung  a z1 u n g
dimineață  d i m i n e a ts a1
motive  m o t i v e
unitățile  u n i t a1 ts i l e
primăriei  p r i m a1 r i e i
arădenii  a r a1 d e n i i
compania  k o m p a n i a
viorica  v i o r i k a
germania  dz1 r m a n i a
citește  ts1 t e s1 t e
valoarea  v a l o a r e a
stelei  s t e l e i
radu  r a d u
mihaela  m i h a e l a
pavel  p a v e l
dumitru  d u m i t r u
petrescu  p e t r e s k u
alți  a l ts i
căminul  k a1 m i n u l
cornel  k o r n e l
n-are  n a r e
popa  p o p a
efectul  e f e k t u l
cătălin  k a1 t a1 l i n
spitale  s p i t a l e
televiziunea  t e l e v i z i u n e a
guvernul  g u v e r n u l
șansă  s1 a n s a1
acordarea  a k o r d a r e a
aniversați  a n i v e r s a ts i
locuiau  l o k u i a u
oricărui  o r i k a1 r u i
universității  u n i v e r s i t a1 ts i i
copiii  k o p i i i
moscova  m o s k o v a
adevărul  a d e v a1 r u l
cauzele  k a u z e l e
tudor  t u d o r
municipiului  m u n i ts1 p i u l u i
nu  n u
dorim  d o r i m
anii  a n i i
titlul  t i t l u l
hași  h a s1 i
localitatea  l o k a l i t a t e a
intre  i n t r e
deosebite  d e o s e b i t e
finala  f i n a l a
publicului  p u b l i k u l u i
merg  m e r g
puncte  p u n k t e
cursuri  k u r s u r i
fotbaliștilor  f o t b a l i s1 t i l o r
ceilalți  ts1 i l a l ts i
datoriile  d a t o r i i l e
mașina  m a s1 i n a
craiova  k r a i o v a
statele  s t a t e l e
unite  u n i t e
artistului  a r t i s t u l u i
știe  s1 t i e
condițiile  k o n d i ts i i l e
firmele  f i r m e l e
stadionul  s t a d i o n u l
meciului  m e ts1 u l u i
vederea  v e d e r e a
președintelui  p r e s1 e d i n t e l u i
anunțat  a n u n ts a t
ne-am  n e a m
becali  b e k a l i
mâncarea  m a2 n k a r e a
mi-au  m i a u
împărțit  a2 m p a1 r ts i t
noilor  n o i l o r
justiție  z1 u s t i ts i e
droguri  d r o g u r i
păstrez  p a1 s t r e z
rutiere  r u t i e r e
funcționarea  f u n k ts i o n a r e a
vizează  v i z e a z a1
distanță  d i s t a n ts a1
școlar  s1 k o l a r
actele  a k t e l e
oboseala  o b o s e a l a
vânzări  v a2 n z a1 r i
oraș  o r a s1
ambarcațiuni  a m b a r k a ts i u n i
cercetări  ts1 r ts1 t a1 r i
autoturismului  a u t o t u r i s m u l u i
cetățeni  ts1 t a1 ts e n i
doze  d o z e
disponibile  d i s p o n i b i l e
eliberate  e l i b e r a t e
anului  a n u l u i
speciale  s p e ts1 a l e
case  k a s e
întâmpină  a2 n t a2 m p i n a1
moartea  m o a r t e a
comentez  k o m e n t e z
vorbească  v o r b e a s k a1
prietenă  p r i e t e n a1
statul  s t a t u l
tratatul  t r a t a t u l
șofer  s1 o f e r
cultivă  k u l t i v a1
trecută  t r e k u t a1
complexului  k o m p l e k s u l u i
amânarea  a m a2 n a r e a
scriu  s k r i u
fim  f i m
iasă  i a s a1
cumpăr  k u m p a1 r
rămână  r a1 m a2 n a1
bolnavi  b o l n a v i
mărturisește  m a1 r t u r i s e s1 t e
ultimele  u l t i m e l e
noștri  n o s1 t r i
semnalul  s e m n a l u l
spitalul  s p i t a l u l
sindicatului  s i n d i k a t u l u i
fondurilor  f o n d u r i l o r
categoria  k a t e g o r i a
internaționale  i n t e r n a ts i o n a l e
operatori  o p e r a t o r i
locului  l o k u l u i
locurile  l o k u r i l e
ești  e s1 t i
legate  l e g a t e
tradiție  t r a d i ts i e
lungă  l u n g a1
n-au  n a u
agenți  a dz1 n ts i
șoferița  s1 o f e r i ts a
datoria  d a t o r i a
stau  s t a u
importante  i m p o r t a n t e
ați  a ts i
nu-l  n u l
circulă  ts1 r k u l a1
plătește  p l a1 t e s1 t e
oamenilor  o a m e n i l o r
reușim  r e u s1 i m
cânte  k a2 n t e
următorul  u r m a1 t o r u l
operație  o p e r a ts i e
regulile  r e g u l i l e
luptăm  l u p t a1 m
dați  d a ts i
adăpostul  a d a1 p o s t u l
electronice  e l e k t r o n i ts1
atmosfera  a t m o s f e r a
întâmplă  a2 n t a2 m p l a1
vremea  v r e m e a
campionatul  k a m p i o n a t u l
fiind  f i i n d
procesele  p r o ts1 s e l e
opinia  o p i n i a
făcute  f a1 k u t e
pline  p l i n e
le-am  l e a m
inițial  i n i ts i a l
medie  m e d i e
patra  p a t r a
siguranță  s i g u r a n ts a1
posibilul  p o s i b i l u l
recuperăm  r e k u p e r a1 m
secția  s e k ts i a
bugetul  b u dz1 t u l
trăită  t r a1 i t a1
indiferență  i n d i f e r e n ts a1
noul  n o u l
bărbații  b a1 r b a ts i i
femeile  f e m e i l e
califice  k a l i f i ts1
strâng  s t r a2 n g
bucăți  b u k a1 ts i
hunedoara  h u n e d o a r a
realitatea  r e a l i t a t e a
ele  e l e
domnul  d o m n u l
încerc  a2 n ts1 r k
sergiu  s e r dz1 u
petre  p e t r e
americii  a m e r i ts1 i
rusia  r u s i a
mădălina  m a1 d a1 l i n a
sindicatul  s i n d i k a t u l
instanța  i n s t a n ts a
cumpărate  k u m p a1 r a t e
păcăliți  p a1 k a1 l i ts i
acțiunea  a k ts i u n e a
omul  o m u l
fotbaliștii  f o t b a l i s1 t i i
plece  p l e ts1
ema  e m a
situează  s i t u e a z a1
importantă  i m p o r t a n t a1
anunță  a n u n ts a1
urziceni  u r z i ts1 n i
mașină  m a s1 i n a1
echipe  e k h i p e
constituțională  k o n s t i t u ts i o n a l a1
show-ul  s h o u u l
reabilitarea  r e a b i l i t a r e a
cunoscută  k u n o s k u t a1
alegerile  a l e dz1 r i l e
majoritatea  m a z1 o r i t a t e a
temele  t e m e l e
trăim  t r a1 i m
reprezentantul  r e p r e z e n t a n t u l
ridică  r i d i k a1
regulamentul  r e g u l a m e n t u l
cupele  k u p e l e
acționarul  a k ts i o n a r u l
companiei  k o m p a n i e i
rromă  r r o m a1
reacția  r e a k ts i a
așteptat  a s1 t e p t a t
victime  v i k t i m e
brașov  b r a s1 o v
răutățile  r a1 u t a1 ts i l e
respingerea  r e s p i n dz1 r e a
incertitudini  i n ts1 r t i t u d i n i
penale  p e n a l e
italieni  i t a l i e n i
ocupația  o k u p a ts i a
scadă  s k a d a1
olanda  o l a n d a
de  d e
făceam  f a1 ts1 a m
ge  dz1
fluviului  f l u v i u l u i
credincioșii  k r e d i n ts1 o s1 i i
contează  k o n t e a z a1
imobilul  i m o b i l u l
susținerea  s u s ts i n e r e a
ambelor  a m b e l o r
entități  e n t i t a1 ts i
urăște  u r a1 s1 t e
fățărnicia  f a1 ts a1 r n i ts1 a
terminali  t e r m i n a l i
spargerile  s p a r dz1 r i l e
pereți  p e r e ts i
ilegale  i l e g a l e
organizatorii  o r g a n i z a t o r i i
aducă  a d u k a1
germane  dz1 r m a n e
poalele  p o a l e l e
ordinea  o r d i n e a
zilei  z i l e i
picioarele  p i ts1 o a r e l e
negre  n e g r e
dalmațian  d a l m a ts i a n
obținute  o b ts i n u t e
crește  k r e s1 t e
trebuiesc  t r e b u i e s k
parcurse  p a r k u r s e
secunde  s e k u n d e
informaticianul  i n f o r m a t i ts1 a n u l
prindem  p r i n d e m
exmatriculăm  e k s m a t r i k u l a1 m
bătrâni  b a1 t r a2 n i
căței  k a1 ts e i
drăguți  d r a1 g u ts i
inteligenți  i n t e l i dz1 n ts i
asigurarea  a s i g u r a r e a
radioului  r a d i o u l u i
jurnalismul  z1 u r n a l i s m u l
rețele  r e ts e l e
colegi  k o l e dz1
gândul  g a2 n d u l
circule  ts1 r k u l e
controale  k o n t r o a l e
nord-estul  n o r d e s t u l
sumelor  s u m e l o r
restante  r e s t a n t e
cabinete  k a b i n e t e
corespundeau  k o r e s p u n d e a u
reglementărilor  r e g l e m e n t a1 r i l o r
elemente  e l e m e n t e
lucrezi  l u k r e z i
taxele  t a k s e l e
rolul  r o l u l
îndeplinirea  a2 n d e p l i n i r e a
obligațiilor  o b l i g a ts i i l o r
părților  p a1 r ts i l o r
convenție  k o n v e n ts i e
stabilită  s t a b i l i t a1
inspectoratul  i n s p e k t o r a t u l
grădinița  g r a1 d i n i ts a
situată  s i t u a t a1
activități  a k t i v i t a1 ts i
imobiliare  i m o b i l i a r e
convorbirea  k o n v o r b i r e a
telefonică  t e l e f o n i k a1
aplicată  a p l i k a t a1
impetuozitatea  i m p e t u o z i t a t e a
sărmanului  s a1 r m a n u l u i
cetățean  ts1 t a1 ts e a n
întârzie  a2 n t a2 r z i e
avansului  a v a n s u l u i
terminate  t e r m i n a t e
rămâi  r a1 m a2 i
amintirile  a m i n t i r i l e
plăcute  p l a1 k u t e
îngrijirile  a2 n g r i z1 i r i l e
află  a f l a1
muzeului  m u z e u l u i
stă  s t a1
cicloanelor  ts1 k l o a n e l o r
profunde  p r o f u n d e
stigmate  s t i g m a t e
președinției  p r e s1 e d i n ts i e i
atitudinea  a t i t u d i n e a
cântăreața  k a2 n t a1 r e a ts a
fumatul  f u m a t u l
kilometri  k i l o m e t r i
aeroportul  a e r o p o r t u l
angajeze  a n g a z1 e z e
nepoți  n e p o ts i
considerată  k o n s i d e r a t a1
comerț  k o m e r ts
sancțiuni  s a n k ts i u n i
inspectorii  i n s p e k t o r i i
bijuteriile  b i z1 u t e r i i l e
judecătorilor  z1 u d e k a1 t o r i l o r
colegilor  k o l e dz1 l o r
îmbrăcați  a2 m b r a1 k a ts i
costume  k o s t u m e
melodii  m e l o d i i
învață  a2 n v a ts a1
gravă  g r a v a1
interzică  i n t e r z i k a1
necorelarea  n e k o r e l a r e a
vitezelor  v i t e z e l o r
simplistă  s i m p l i s t a1
nerăbdătoare  n e r a1 b d a1 t o a r e
pasiunea  p a s i u n e a
jocul  z1 o k u l
nască  n a s k a1
operațional  o p e r a ts i o n a l
microbistă  m i k r o b i s t a1
opțiunea  o p ts i u n e a
îndreptățiți  a2 n d r e p t a1 ts i ts i
luăm  l u a1 m
rapoarte  r a p o a r t e
construiește  k o n s t r u i e s1 t e
podul  p o d u l
rutieră  r u t i e r a1
radare  r a d a r e
cartofii  k a r t o f i i
prăjiți  p r a1 z1 i ts i
catastrofale  k a t a s t r o f a l e
vicepreședintele  v i ts1 p r e s1 e d i n t e l e
volanului  v o l a n u l u i
străzi  s t r a1 z i
fiecăruia  f i e k a1 r u i a
visul  v i s u l
nopți  n o p ts i
reunește  r e u n e s1 t e
importatori  i m p o r t a t o r i
comercianți  k o m e r ts1 a n ts i
felurile  f e l u r i l e
multinațională  m u l t i n a ts i o n a l a1
prețurilor  p r e ts u r i l o r
cerute  ts1 r u t e
proprietarii  p r o p r i e t a r i i
vând  v a2 n d
rate  r a t e
tendința  t e n d i n ts a
variațiile  v a r i a ts i i l e
pieței  p i e ts e i
bagajele  b a g a z1 e l e
martori  m a r t o r i
relaxează  r e l a k s e a z a1
cabinetelor  k a b i n e t e l o r
policlinica  p o l i k l i n i k a
insule  i n s u l e
denumite  d e n u m i t e
japonia  z1 a p o n i a
ruși  r u s1 i
tie-break  t i e b r e a k
finală  f i n a l a1
seturi  s e t u r i
stabile  s t a b i l e
cunoșteam  k u n o s1 t e a m
dificultăți  d i f i k u l t a1 ts i
garantează  g a r a n t e a z a1
volumelor  v o l u m e l o r
strice  s t r i ts1
ediția  e d i ts i a
ziarului  z i a r u l u i
faptul  f a p t u l
terasamentul  t e r a s a m e n t u l
bunurilor  b u n u r i l o r
salvate  s a l v a t e
orașul  o r a s1 u l
știrbesc  s1 t i r b e s k
colecția  k o l e k ts i a
legitimate  l e dz1 t i m a t e
conduși  k o n d u s1 i
sediul  s e d i u l
oaspeți  o a s p e ts i
vaccinului  v a k ts1 n u l u i
gripei  g r i p e i
viitoare  v i i t o a r e
autorizații  a u t o r i z a ts i i
rezidențiale  r e z i d e n ts i a l e
angajamentele  a n g a z1 a m e n t e l e
asumate  a s u m a t e
protocolul  p r o t o k o l u l
nenumărate  n e n u m a1 r a t e
câștige  k a2 s1 t i dz1
spațiu  s p a ts i u
nevăzătorii  n e v a1 z a1 t o r i i
limbajul  l i m b a z1 u l
îndrumări  a2 n d r u m a1 r i
accelerează  a k ts1 l e r e a z a1
vânzările  v a2 n z a1 r i l e
revenit  r e v e n i t
decente  d e ts1 n t e
pensiuni  p e n s i u n i
asigurată  a s i g u r a t a1
clientela  k l i e n t e l a
părinților  p a1 r i n ts i l o r
cumpărăturile  k u m p a1 r a1 t u r i l e
pesimiști  p e s i m i s1 t i
mândrit  m a2 n d r i t
crimele  k r i m e l e
comise  k o m i s e
despărțit  d e s p a1 r ts i t
fatală  f a t a l a1
violențe  v i o l e n ts e
relație  r e l a ts i e
durabilă  d u r a b i l a1
pilotului  p i l o t u l u i
respectă  r e s p e k t a1
sfințenie  s f i n ts e n i e
dreptul  d r e p t u l
afecțiuni  a f e k ts i u n i
psihice  p s i h i ts1
trecuse  t r e k u s e
frontiera  f r o n t i e r a
descurc  d e s k u r k
ajungi  a z1 u n dz1
capătul  k a p a1 t u l
scărilor  s k a1 r i l o r
statuia  s t a t u i a
alimente  a l i m e n t e
imediată  i m e d i a t a1
spectacole  s p e k t a k o l e
declanșarea  d e k l a n s1 a r e a
migrenelor  m i g r e n e l o r
neuro-transmițătorul  n e u r o t r a n s m i ts a1 t o r u l
meșteșugari  m e s1 t e s1 u g a r i
pantofi  p a n t o f i
afectați  a f e k t a ts i
apariția  a p a r i ts i a
magazinelor  m a g a z i n e l o r
asociații  a s o ts1 a ts i i
adrese  a d r e s e
cerând  ts1 r a2 n d
scoase  s k o a s e
vânătorul  v a2 n a1 t o r u l
știre  s1 t i r e
îndepărtata  a2 n d e p a1 r t a t a
leziuni  l e z i u n i
multiple  m u l t i p l e
înțelegem  a2 n ts e l e dz1 m
observ  o b s e r v
progrese  p r o g r e s e
liberalii  l i b e r a l i i
opoziție  o p o z i ts i e
condiții  k o n d i ts i i
repete  r e p e t e
prezentate  p r e z e n t a t e
manuscrisul  m a n u s k r i s u l
pagini  p a dz1 n i
nervoasă  n e r v o a s a1
profesoara  p r o f e s o a r a
găsită  g a1 s i t a1
arheologică  a r h e o l o dz1 k a1
incidentului  i n ts1 d e n t u l u i
papagalul  p a p a g a l u l
suplimenteze  s u p l i m e n t e z e
miliarde  m i l i a r d e
timpi  t i m p i
mișcări  m i s1 k a1 r i
gardul  g a r d u l
cream  k r e a m
formației  f o r m a ts i e i
instrumentală  i n s t r u m e n t a l a1
penitenciarul  p e n i t e n ts1 a r u l
solicitanți  s o l i ts1 t a n ts i
trupei  t r u p e i
influențat  i n f l u e n ts a t
întorsese  a2 n t o r s e s e
excepții  e k s ts1 p ts i i
cuvine  k u v i n e
reprezentanți  r e p r e z e n t a n ts i
tabloul  t a b l o u l
istorică  i s t o r i k a1
celebrități  ts1 l e b r i t a1 ts i
scopuri  s k o p u r i
caritabile  k a r i t a b i l e
delectează  d e l e k t e a z a1
minorului  m i n o r u l u i
tradițiile  t r a d i ts i i l e
doljeană  d o l z1 e a n a1
dogari  d o g a r i
postbelică  p o s t b e l i k a1
pacifistă  p a ts1 f i s t a1
puternică  p u t e r n i k a1
extracte  e k s t r a k t e
plante  p l a n t e
tirului  t i r u l u i
cameramani  k a m e r a m a n i
trenul  t r e n u l
șine  s1 i n e
dispoziția  d i s p o z i ts i a
cercetătorilor  ts1 r ts1 t a1 t o r i l o r
școlii  s1 k o l i i
înțelegere  a2 n ts e l e dz1 r e
reciprocă  r e ts1 p r o k a1
cuvântul  k u v a2 n t u l
criticul  k r i t i k u l
vorbim  v o r b i m
operațiunea  o p e r a ts i u n e a
tresăream  t r e s a1 r e a m
auzeam  a u z e a m
sirene  s i r e n e
ascundeam  a s k u n d e a m
clienți  k l i e n ts i
repare  r e p a r e
cumpere  k u m p e r e
hotărâtă  h o t a1 r a2 t a1
despăgubiri  d e s p a1 g u b i r i
state  s t a t e
tratamente  t r a t a m e n t e
operații  o p e r a ts i i
pete  p e t e
amintesc  a m i n t e s k
teribila  t e r i b i l a
